age,length,weight,maturity,natmort
1,22.8039,0.2542,0.0229803829781071,0.8443
2,40.67,1.44,0.162779522149111,0.4734
3,52.0322,3.0807,0.44326508246901,0.37
4,55.4032,3.7717,0.68086788111047,0.3475
5,61.1919,5.1405,0.819972530691126,0.3147
6,65.4802,6.3523,0.894776127951221,0.294
7,68.6571,7.3681,0.935888279514916,0.2804
8,71.0106,8.1894,0.95966268086993,0.2711
9,72.7541,8.8373,0.974148141188618,0.2646
10,74.0457,9.3395,0.983380488187107,0.26
11,75.0026,9.7241,0.989482032915312,0.2567
12,75.7115,10.016,0.993629939225991,0.2543
13,76.2366,10.2361,0.996511234460715,0.2526
14,76.6256,10.4014,0.998545652013195,0.2513
15,76.9138,10.5249,0.999499953100002,0.2503
16,77.1273,10.6172,0.999672001286265,0.2496
