fishery,age,sel
21,4,0.7474
21,5,0.4081
21,6,0.2631
21,7,0.2026
21,8,0.1745
21,9,0.1612
21,10,0.1535
21,11,0.1498
21,12,0.1478
21,13,0.1465
21,14,0.1457
21,15,0.145
21,16,0.1449
22,1,0
22,2,0
22,3,0
22,4,1
22,5,0.9656
22,6,0.9565
22,7,0.9563
22,8,0.9589
22,9,0.9633
22,10,0.9663
22,11,0.9696
22,12,0.9724
22,13,0.9742
22,14,0.9756
22,15,0.9765
22,16,0.9775
23,1,0.0709
23,2,0.3475
23,3,0.9351
23,4,1
23,5,0.9775
23,6,0.8593
23,7,0.754
23,8,0.6773
23,9,0.6259
23,10,0.5885
23,11,0.5636
23,12,0.5462
23,13,0.5333
23,14,0.524
23,15,0.5167
23,16,0.5119
24,1,0
24,2,0
24,3,0
24,4,0.0759
24,5,0.2912
24,6,0.6198
24,7,0.8701
24,8,0.9798
24,9,1
24,10,0.9782
24,11,0.9465
24,12,0.9157
24,13,0.8887
24,14,0.8671
24,15,0.8503
24,16,0.8384
25,1,0.0958
25,2,0.2775
25,3,0.9906
25,4,1
25,5,0.8332
25,6,0.6552
25,7,0.5526
25,8,0.4979
25,9,0.4708
25,10,0.4548
25,11,0.4474
25,12,0.444
25,13,0.4415
25,14,0.4401
25,15,0.439
25,16,0.4396
26,1,0.0412
26,2,0.5927
26,3,1
26,4,0.7136
26,5,0.373
26,6,0.237
26,7,0.18
26,8,0.1527
26,9,0.1389
26,10,0.1305
26,11,0.1259
26,12,0.1231
26,13,0.1211
26,14,0.1198
26,15,0.1187
26,16,0.1181
27,1,0.0114
27,2,0.1443
27,3,1
27,4,0.9236
27,5,0.5902
27,6,0.3545
27,7,0.2412
27,8,0.1848
27,9,0.1548
27,10,0.1366
27,11,0.1256
27,12,0.1185
27,13,0.1136
27,14,0.1102
27,15,0.1076
27,16,0.1059
28,1,0
28,2,0
28,3,0
28,4,0.9027
28,5,1
28,6,0.9642
28,7,0.8917
28,8,0.8232
28,9,0.7707
28,10,0.7296
28,11,0.7006
28,12,0.6796
28,13,0.6638
28,14,0.6523
28,15,0.6432
28,16,0.6372
29,1,0.0278
29,2,0.2758
29,3,1
29,4,0.935
29,5,0.6802
29,6,0.4758
29,7,0.3613
29,8,0.2973
29,9,0.2606
29,10,0.2369
29,11,0.2222
29,12,0.2124
29,13,0.2055
29,14,0.2006
29,15,0.1969
29,16,0.1944
30,1,0.034
30,2,0.7172
30,3,1
30,4,0.6799
30,5,0.33
30,6,0.1996
30,7,0.1461
30,8,0.1204
30,9,0.107
30,10,0.0988
30,11,0.094
30,12,0.0908
30,13,0.0887
30,14,0.0872
30,15,0.086
30,16,0.0852
31,1,0.0194
31,2,0.153
31,3,0.8404
31,4,1
31,5,0.9976
31,6,0.7554
31,7,0.5526
31,8,0.4225
31,9,0.3432
31,10,0.2927
31,11,0.2605
31,12,0.239
31,13,0.2243
31,14,0.214
31,15,0.2064
31,16,0.2011
32,1,0
32,2,0
32,3,0
32,4,0.3859
32,5,0.8135
32,6,1
32,7,0.959
32,8,0.8492
32,9,0.7469
32,10,0.6669
32,11,0.609
32,12,0.5674
32,13,0.5375
32,14,0.5159
32,15,0.5002
32,16,0.4889
33,1,0.1104
33,2,1
33,3,0.8235
33,4,0.5653
33,5,0.3134
33,6,0.2254
33,7,0.1901
33,8,0.1741
33,9,0.1672
33,10,0.1634
33,11,0.1622
33,12,0.1619
33,13,0.1618
33,14,0.1619
