year,area,stage,f
1972,1,adult,0.0851343328841006
1973,1,adult,0.153791082065668
1974,1,adult,0.218242178215354
1975,1,adult,0.142298008770736
1976,1,adult,0.241338799093411
1977,1,adult,0.229191612099492
1978,1,adult,0.339621413479339
1979,1,adult,0.278205872907869
1980,1,adult,0.302462264780361
1981,1,adult,0.28617071210157
1982,1,adult,0.232483944707612
1983,1,adult,0.169869069201362
1984,1,adult,0.337791271681822
1985,1,adult,0.491581848930789
1986,1,adult,0.304001961714529
1987,1,adult,0.195552120893888
1988,1,adult,0.230019848318195
1989,1,adult,0.2180806477146
1990,1,adult,0.221461184088187
1991,1,adult,0.311602488908472
1992,1,adult,0.2681156445904
1993,1,adult,0.37543065166305
1994,1,adult,0.195955192562096
1995,1,adult,0.270078445336873
1996,1,adult,0.403694331843381
1997,1,adult,0.419733657228792
1998,1,adult,0.366767015247339
1999,1,adult,0.420111971874556
2000,1,adult,0.563518050176396
2001,1,adult,0.434662333114276
2002,1,adult,0.294976455441002
2003,1,adult,0.509048389638931
2004,1,adult,0.605859173085501
2005,1,adult,0.304949669204962
2006,1,adult,0.283923256632639
2007,1,adult,0.613823075051756
2008,1,adult,0.282170817195183
2009,1,adult,0.630834861250506
2010,1,adult,0.374891870731495
2011,1,adult,0.380704265472716
2012,1,adult,0.621015551072462
2013,1,adult,0.487104182949189
2014,1,adult,0.333911383751674
2015,1,adult,0.288120297765668
2016,1,adult,0.232290419402436
2017,1,adult,0.439679769261427
2018,1,adult,0.291331848984301
2019,1,adult,0.29372102434155
2020,1,adult,0.296170670731849
2021,1,adult,0.594458093483951
2022,1,adult,0.651115749198267
2023,1,adult,0.138181844896405
2024,1,adult,0.122578271398205
1972,2,adult,0.110135225142465
1973,2,adult,0.141640743199728
1974,2,adult,0.0737699043453752
1975,2,adult,0.0846327646268022
1976,2,adult,0.0778454184356041
1977,2,adult,0.0806329356776803
1978,2,adult,0.0948281817517279
1979,2,adult,0.125888201616878
1980,2,adult,0.252314970723376
1981,2,adult,0.104674731198553
1982,2,adult,0.160059619902341
1983,2,adult,0.142680947790818
1984,2,adult,0.244991886471689
1985,2,adult,0.0878865742300528
1986,2,adult,0.168087382628554
1987,2,adult,0.166873070734575
1988,2,adult,0.191351308545297
1989,2,adult,0.195121143942821
1990,2,adult,0.109820386968931
1991,2,adult,0.248734521490963
1992,2,adult,0.174299898496903
1993,2,adult,0.397892603589122
1994,2,adult,0.307390470076279
1995,2,adult,0.271918255886718
1996,2,adult,0.102241229795102
1997,2,adult,0.458523272399375
1998,2,adult,0.629019603112787
1999,2,adult,0.289090975082801
2000,2,adult,0.505001350313757
2001,2,adult,0.40321989634757
2002,2,adult,0.305475947425179
2003,2,adult,0.461347712736464
2004,2,adult,0.33618123104044
2005,2,adult,0.663744643818418
2006,2,adult,0.489500936869547
2007,2,adult,0.452740760820645
2008,2,adult,0.632185917367386
2009,2,adult,0.341658938380972
2010,2,adult,0.504808353038224
2011,2,adult,0.254103143668905
2012,2,adult,0.237813783610529
2013,2,adult,0.255133362436797
2014,2,adult,0.282749968741932
2015,2,adult,0.439688898279492
2016,2,adult,0.326487266498853
2017,2,adult,0.256496864504128
2018,2,adult,0.187066277112772
