year,season,area,ssb
2009,4,1,59397
2010,4,1,71583
2011,4,1,72426
2012,4,1,61825
2013,4,1,75196
2014,4,1,74581
2015,4,1,63859
2016,4,1,59419
2017,4,1,55898
2018,4,1,64343
2019,4,1,69425
2020,4,1,60000
2021,4,1,62697
2022,4,1,52838
2023,4,1,71101
2024,4,1,79142
1972,1,2,159070
1973,1,2,158520
1974,1,2,158480
1975,1,2,162780
1976,1,2,140660
1977,1,2,120290
1978,1,2,102990
1979,1,2,123660
1980,1,2,106330
1981,1,2,82088
1982,1,2,87633
1983,1,2,75066
1984,1,2,101040
1985,1,2,96145
1986,1,2,93087
1987,1,2,114020
1988,1,2,122080
1989,1,2,107910
1990,1,2,89888
1991,1,2,84572
1992,1,2,81057
1993,1,2,80425
1994,1,2,64988
1995,1,2,64378
1996,1,2,68468
1997,1,2,83552
1998,1,2,62335
1999,1,2,49897
2000,1,2,76069
2001,1,2,49578
2002,1,2,54004
2003,1,2,52710
2004,1,2,50417
2005,1,2,55337
2006,1,2,42729
2007,1,2,45070
2008,1,2,46814
2009,1,2,41405
2010,1,2,40203
2011,1,2,37856
2012,1,2,49037
2013,1,2,42687
2014,1,2,55816
2015,1,2,49731
2016,1,2,36460
2017,1,2,37453
2018,1,2,40292
2019,1,2,44033
2020,1,2,56172
2021,1,2,41185
2022,1,2,45576
2023,1,2,44694
2024,1,2,51952
1972,2,2,150020
1973,2,2,80977
1974,2,2,86675
1975,2,2,86023
1976,2,2,87052
1977,2,2,61797
1978,2,2,54866
1979,2,2,79620
1980,2,2,57759
1981,2,2,42315
1982,2,2,50529
1983,2,2,46680
1984,2,2,68791
1985,2,2,51469
1986,2,2,48434
1987,2,2,61953
1988,2,2,70515
1989,2,2,55513
1990,2,2,50538
1991,2,2,50938
1992,2,2,42582
1993,2,2,46654
1994,2,2,39483
1995,2,2,45057
1996,2,2,38168
1997,2,2,44398
1998,2,2,39483
1999,2,2,30638
2000,2,2,50255
2001,2,2,25692
2002,2,2,27382
2003,2,2,26921
2004,2,2,25832
2005,2,2,28325
2006,2,2,22583
2007,2,2,23860
2008,2,2,27530
2009,2,2,21716
2010,2,2,22205
2011,2,2,21575
2012,2,2,24838
2013,2,2,22012
2014,2,2,26984
2015,2,2,24660
2016,2,2,19766
2017,2,2,22273
2018,2,2,25417
2019,2,2,22120
2020,2,2,26763
2021,2,2,19523
2022,2,2,21613
2023,2,2,21013
2024,2,2,25313
1972,3,2,164290
1973,3,2,127310
1974,3,2,152410
1975,3,2,135810
1976,3,2,147300
1977,3,2,102760
1978,3,2,106790
1979,3,2,143910
1980,3,2,88201
1981,3,2,75374
1982,3,2,82894
1983,3,2,90836
1984,3,2,132060
1985,3,2,90575
1986,3,2,96493
1987,3,2,102550
1988,3,2,113780
1989,3,2,91584
1990,3,2,86069
1991,3,2,83901
1992,3,2,73906
1993,3,2,77400
1994,3,2,70190
1995,3,2,85442
1996,3,2,74627
1997,3,2,68673
1998,3,2,71298
1999,3,2,80403
2000,3,2,89232
2001,3,2,49189
2002,3,2,54047
2003,3,2,52348
2004,3,2,48923
2005,3,2,49297
2006,3,2,55174
2007,3,2,48280
2008,3,2,45623
2009,3,2,38150
2010,3,2,45492
2011,3,2,55577
2012,3,2,50172
2013,3,2,54056
2014,3,2,48676
2015,3,2,38924
2016,3,2,41695
2017,3,2,44916
2018,3,2,48600
2019,3,2,56094
2020,3,2,49889
2021,3,2,46757
2022,3,2,43224
2023,3,2,51616
2024,3,2,54816
1972,4,2,380260
1973,4,2,361460
1974,4,2,398690
1975,4,2,336600
1976,4,2,304130
1977,4,2,257030
1978,4,2,302720
1979,4,2,274270
1980,4,2,215410
1981,4,2,211220
1982,4,2,187630
1983,4,2,230190
1984,4,2,255870
1985,4,2,234280
1986,4,2,271870
1987,4,2,281860
1988,4,2,253870
1989,4,2,225650
1990,4,2,201160
1991,4,2,204810
1992,4,2,201830
1993,4,2,178930
1994,4,2,166960
1995,4,2,181120
1996,4,2,203330
1997,4,2,178240
1998,4,2,154100
1999,4,2,208170
2000,4,2,175500
2001,4,2,145260
2002,4,2,138420
2003,4,2,144150
2004,4,2,135680
2005,4,2,134260
2006,4,2,124990
2007,4,2,121440
2008,4,2,118330
2009,4,2,101540
2010,4,2,112020
2011,4,2,136690
2012,4,2,114470
2013,4,2,150240
2014,4,2,125160
2015,4,2,95631
2016,4,2,98730
2017,4,2,93137
2018,4,2,110040
2019,4,2,152700
2020,4,2,113880
2021,4,2,132070
2022,4,2,119620
2023,4,2,140950
2024,4,2,135360
1972,1,3,260170
1973,1,3,274900
1974,1,3,242280
1975,1,3,301240
1976,1,3,267450
1977,1,3,261170
1978,1,3,238660
1979,1,3,253440
1980,1,3,229020
1981,1,3,207120
1982,1,3,190390
1983,1,3,194420
1984,1,3,211560
1985,1,3,222150
1986,1,3,177070
1987,1,3,201260
1988,1,3,200570
1989,1,3,196800
1990,1,3,213040
1991,1,3,166040
1992,1,3,162240
1993,1,3,141780
1994,1,3,142820
1995,1,3,140080
1996,1,3,143020
1997,1,3,121520
1998,1,3,143920
1999,1,3,147900
2000,1,3,147590
2001,1,3,164080
2002,1,3,126680
2003,1,3,150190
2004,1,3,141290
2005,1,3,129370
2006,1,3,135000
2007,1,3,123780
2008,1,3,122360
2009,1,3,106330
2010,1,3,91835
2011,1,3,94341
2012,1,3,102480
2013,1,3,97495
2014,1,3,105360
2015,1,3,98487
2016,1,3,76179
2017,1,3,76859
2018,1,3,77398
2019,1,3,83118
2020,1,3,85542
2021,1,3,72168
2022,1,3,87220
2023,1,3,79379
2024,1,3,96699
1972,2,3,259830
1973,2,3,285450
1974,2,3,229900
1975,2,3,285870
1976,2,3,269490
1977,2,3,256350
1978,2,3,248870
1979,2,3,235430
1980,2,3,243470
1981,2,3,188280
1982,2,3,190700
1983,2,3,203450
1984,2,3,215090
1985,2,3,214740
1986,2,3,183160
1987,2,3,202350
1988,2,3,209710
1989,2,3,236370
1990,2,3,193770
1991,2,3,165940
1992,2,3,155670
1993,2,3,134490
1994,2,3,143600
1995,2,3,140060
1996,2,3,139660
1997,2,3,130810
1998,2,3,144280
1999,2,3,147350
2000,2,3,164050
2001,2,3,144950
2002,2,3,110190
2003,2,3,126640
2004,2,3,122430
2005,2,3,119000
2006,2,3,118140
2007,2,3,115370
2008,2,3,111550
2009,2,3,94865
2010,2,3,81707
2011,2,3,84349
2012,2,3,91941
2013,2,3,90274
2014,2,3,94599
2015,2,3,85209
2016,2,3,67018
2017,2,3,71634
2018,2,3,83024
2019,2,3,77870
2020,2,3,81404
2021,2,3,70775
2022,2,3,92238
2023,2,3,87279
2024,2,3,104750
1972,3,3,426360
1973,3,3,449200
1974,3,3,586450
1975,3,3,512700
1976,3,3,539680
1977,3,3,445780
1978,3,3,425330
1979,3,3,441460
1980,3,3,428990
1981,3,3,331950
1982,3,3,343240
1983,3,3,368110
1984,3,3,403700
1985,3,3,366930
1986,3,3,341670
1987,3,3,330920
1988,3,3,322020
1989,3,3,380810
1990,3,3,251390
1991,3,3,230780
1992,3,3,218330
1993,3,3,224980
1994,3,3,240830
1995,3,3,222960
1996,3,3,210080
1997,3,3,245120
1998,3,3,262880
1999,3,3,258850
2000,3,3,304470
2001,3,3,248930
2002,3,3,284600
2003,3,3,308760
2004,3,3,252940
2005,3,3,274550
2006,3,3,246850
2007,3,3,236520
2008,3,3,212850
2009,3,3,186630
2010,3,3,184270
2011,3,3,187120
2012,3,3,168830
2013,3,3,201400
2014,3,3,197550
2015,3,3,165460
2016,3,3,141180
2017,3,3,134790
2018,3,3,150200
2019,3,3,144440
2020,3,3,133180
2021,3,3,142300
2022,3,3,142470
2023,3,3,155440
2024,3,3,177370
1972,4,3,335280
1973,4,3,341280
1974,4,3,456430
1975,4,3,375240
1976,4,3,420950
1977,4,3,351060
1978,4,3,359090
1979,4,3,345430
1980,4,3,338950
1981,4,3,292090
1982,4,3,280660
1983,4,3,302380
1984,4,3,323230
1985,4,3,275030
1986,4,3,276870
1987,4,3,260710
1988,4,3,256290
1989,4,3,318830
1990,4,3,220080
1991,4,3,198130
1992,4,3,180980
1993,4,3,185340
1994,4,3,194370
1995,4,3,179030
1996,4,3,179610
1997,4,3,208580
1998,4,3,216140
1999,4,3,213280
2000,4,3,256960
2001,4,3,199170
2002,4,3,247730
2003,4,3,236000
2004,4,3,204890
2005,4,3,218620
2006,4,3,197260
2007,4,3,204650
2008,4,3,168740
2009,4,3,151390
2010,4,3,147960
2011,4,3,157300
2012,4,3,141300
2013,4,3,162110
2014,4,3,155420
2015,4,3,126630
2016,4,3,111720
2017,4,3,115720
2018,4,3,123380
2019,4,3,114570
2020,4,3,100910
2021,4,3,115120
2022,4,3,112110
2023,4,3,127960
2024,4,3,143530
1972,1,4,738400
1973,1,4,754060
1974,1,4,757720
1975,1,4,761050
1976,1,4,622230
1977,1,4,534820
1978,1,4,542070
1979,1,4,632480
1980,1,4,473020
1981,1,4,466860
1982,1,4,420640
1983,1,4,401890
1984,1,4,531710
1985,1,4,562190
1986,1,4,458290
1987,1,4,647690
1988,1,4,577750
1989,1,4,568460
1990,1,4,484770
1991,1,4,401900
1992,1,4,487220
1993,1,4,467440
1994,1,4,471020
1995,1,4,375760
1996,1,4,455010
1997,1,4,413520
1998,1,4,511720
1999,1,4,510510
2000,1,4,509640
2001,1,4,381480
2002,1,4,403890
2003,1,4,374170
2004,1,4,432140
2005,1,4,353710
2006,1,4,480580
2007,1,4,405220
2008,1,4,341510
2009,1,4,329410
2010,1,4,258890
2011,1,4,335340
2012,1,4,311180
2013,1,4,322020
2014,1,4,363390
2015,1,4,268320
2016,1,4,240960
2017,1,4,223240
2018,1,4,209200
2019,1,4,268940
2020,1,4,355430
2021,1,4,255410
2022,1,4,342340
2023,1,4,267050
2024,1,4,352740
1972,2,4,829420
1973,2,4,919870
1974,2,4,931050
1975,2,4,853500
1976,2,4,703810
1977,2,4,662800
1978,2,4,784860
1979,2,4,728290
1980,2,4,569380
1981,2,4,514000
1982,2,4,460240
1983,2,4,531410
1984,2,4,662320
1985,2,4,701150
1986,2,4,610690
1987,2,4,725010
1988,2,4,690880
1989,2,4,685720
1990,2,4,533270
1991,2,4,488310
1992,2,4,553220
1993,2,4,570550
1994,2,4,529920
1995,2,4,467710
1996,2,4,614700
1997,2,4,517790
1998,2,4,623360
1999,2,4,667470
2000,2,4,566680
2001,2,4,485860
2002,2,4,483830
2003,2,4,483270
2004,2,4,497140
2005,2,4,462440
2006,2,4,590070
2007,2,4,472570
2008,2,4,388700
2009,2,4,334400
2010,2,4,367260
2011,2,4,379140
2012,2,4,344800
2013,2,4,483570
2014,2,4,396180
2015,2,4,268200
2016,2,4,238590
2017,2,4,226380
2018,2,4,239420
2019,2,4,391870
2020,2,4,350120
2021,2,4,373000
2022,2,4,324860
2023,2,4,393590
2024,2,4,480090
1972,3,4,1195500
1973,3,4,1277500
1974,3,4,1380300
1975,3,4,1159200
1976,3,4,945880
1977,3,4,913050
1978,3,4,1084000
1979,3,4,917140
1980,3,4,815690
1981,3,4,736330
1982,3,4,652400
1983,3,4,742280
1984,3,4,940080
1985,3,4,840950
1986,3,4,1015800
1987,3,4,975570
1988,3,4,972880
1989,3,4,886870
1990,3,4,688100
1991,3,4,722810
1992,3,4,704050
1993,3,4,760040
1994,3,4,623800
1995,3,4,624530
1996,3,4,732990
1997,3,4,777010
1998,3,4,745960
1999,3,4,859100
2000,3,4,661150
2001,3,4,674550
2002,3,4,622810
2003,3,4,714550
2004,3,4,624560
2005,3,4,738990
2006,3,4,720620
2007,3,4,623740
2008,3,4,614290
2009,3,4,452430
2010,3,4,546640
2011,3,4,583140
2012,3,4,490490
2013,3,4,669850
2014,3,4,564690
2015,3,4,485350
2016,3,4,445950
2017,3,4,394000
2018,3,4,430090
2019,3,4,630530
2020,3,4,508420
2021,3,4,638940
2022,3,4,499890
2023,3,4,601060
2024,3,4,630520
1972,4,4,982330
1973,4,4,1014900
1974,4,4,1055700
1975,4,4,864030
1976,4,4,728090
1977,4,4,683750
1978,4,4,851700
1979,4,4,664280
1980,4,4,658990
1981,4,4,585960
1982,4,4,516900
1983,4,4,654740
1984,4,4,725210
1985,4,4,618250
1986,4,4,840000
1987,4,4,780350
1988,4,4,754410
1989,4,4,674660
1990,4,4,543610
1991,4,4,630100
1992,4,4,610810
1993,4,4,625190
1994,4,4,494320
1995,4,4,550940
1996,4,4,574210
1997,4,4,634930
1998,4,4,623810
1999,4,4,699880
2000,4,4,507610
2001,4,4,539540
2002,4,4,493420
2003,4,4,572670
2004,4,4,473480
2005,4,4,607440
2006,4,4,551860
2007,4,4,481790
2008,4,4,464570
2009,4,4,330070
2010,4,4,445770
2011,4,4,434430
2012,4,4,381870
2013,4,4,516420
2014,4,4,405740
2015,4,4,360310
2016,4,4,325940
2017,4,4,289060
2018,4,4,334410
2019,4,4,505850
2020,4,4,344880
2021,4,4,500620
2022,4,4,343170
2023,4,4,457490
2024,4,4,477460
1972,1,5,1856400
1973,1,5,2067100
1974,1,5,3443200
1975,1,5,4161000
1976,1,5,4091800
1977,1,5,2955700
1978,1,5,1521800
1979,1,5,2147000
1980,1,5,2641200
1981,1,5,1453500
1982,1,5,1718900
1983,1,5,1802200
1984,1,5,2101800
1985,1,5,2270400
1986,1,5,1587600
1987,1,5,1318700
1988,1,5,851130
1989,1,5,1119800
1990,1,5,816440
1991,1,5,649190
1992,1,5,544730
1993,1,5,928450
1994,1,5,1067600
1995,1,5,1003400
1996,1,5,592080
1997,1,5,898560
1998,1,5,1041200
1999,1,5,999400
2000,1,5,1095200
2001,1,5,1272600
2002,1,5,1703200
2003,1,5,2946100
2004,1,5,1855000
2005,1,5,1979500
2006,1,5,1721700
2007,1,5,1449500
2008,1,5,1277800
2009,1,5,1116700
2010,1,5,1175000
2011,1,5,1087300
2012,1,5,983120
2013,1,5,1007100
2014,1,5,1128400
2015,1,5,1029500
2016,1,5,760510
2017,1,5,590270
2018,1,5,508850
2019,1,5,486890
2020,1,5,362290
2021,1,5,381580
2022,1,5,317800
2023,1,5,329160
2024,1,5,457630
1972,2,5,1814200
1973,2,5,1693600
1974,2,5,3935900
1975,2,5,3183300
1976,2,5,3535300
1977,2,5,2154800
1978,2,5,1130500
1979,2,5,2335200
1980,2,5,2009600
1981,2,5,1237500
1982,2,5,1501100
1983,2,5,1614300
1984,2,5,1858500
1985,2,5,1826700
1986,2,5,1280900
1987,2,5,997980
1988,2,5,761480
1989,2,5,892620
1990,2,5,632580
1991,2,5,511720
1992,2,5,537480
1993,2,5,838500
1994,2,5,927470
1995,2,5,774190
1996,2,5,457460
1997,2,5,806770
1998,2,5,841360
1999,2,5,864610
2000,2,5,901960
2001,2,5,1128400
2002,2,5,1771100
2003,2,5,2400900
2004,2,5,1526300
2005,2,5,1735900
2006,2,5,1434000
2007,2,5,1194900
2008,2,5,1062500
2009,2,5,978600
2010,2,5,999820
2011,2,5,950860
2012,2,5,788200
2013,2,5,926500
2014,2,5,985460
2015,2,5,829580
2016,2,5,647340
2017,2,5,491530
2018,2,5,436320
2019,2,5,438330
2020,2,5,283090
2021,2,5,332830
2022,2,5,262130
2023,2,5,320060
2024,2,5,432760
1972,3,5,1613200
1973,3,5,1464100
1974,3,5,3968500
1975,3,5,2758300
1976,3,5,3193500
1977,3,5,1668000
1978,3,5,920850
1979,3,5,2446500
1980,3,5,1595000
1981,3,5,1422200
1982,3,5,1594100
1983,3,5,1809300
1984,3,5,2006800
1985,3,5,1654600
1986,3,5,1216300
1987,3,5,789400
1988,3,5,846100
1989,3,5,708520
1990,3,5,496700
1991,3,5,376950
1992,3,5,512250
1993,3,5,786070
1994,3,5,844370
1995,3,5,598650
1996,3,5,460220
1997,3,5,756970
1998,3,5,716720
1999,3,5,779720
2000,3,5,791450
2001,3,5,1081800
2002,3,5,2017100
2003,3,5,1979100
2004,3,5,1407500
2005,3,5,1579600
2006,3,5,1279100
2007,3,5,1068900
2008,3,5,950020
2009,3,5,936590
2010,3,5,913850
2011,3,5,866430
2012,3,5,693790
2013,3,5,885550
2014,3,5,925480
2015,3,5,720250
2016,3,5,555620
2017,3,5,420390
2018,3,5,378310
2019,3,5,377190
2020,3,5,261430
2021,3,5,285490
2022,3,5,230820
2023,3,5,309390
2024,3,5,382710
1972,4,5,1652100
1973,4,5,1762900
1974,4,5,4027300
1975,4,5,2883200
1976,4,5,2944500
1977,4,5,1411100
1978,4,5,1069200
1979,4,5,2474900
1980,4,5,1362100
1981,4,5,1455000
1982,4,5,1576900
1983,4,5,1838400
1984,4,5,2021300
1985,4,5,1508400
1986,4,5,1137800
1987,4,5,656320
1988,4,5,870240
1989,4,5,602920
1990,4,5,446370
1991,4,5,321260
1992,4,5,564100
1993,4,5,813880
1994,4,5,845400
1995,4,5,484870
1996,4,5,561760
1997,4,5,783900
1998,4,5,714230
1999,4,5,797060
2000,4,5,871130
2001,4,5,1254300
2002,4,5,2467900
2003,4,5,1811700
2004,4,5,1627300
2005,4,5,1549200
2006,4,5,1294000
2007,4,5,1084100
2008,4,5,951410
2009,4,5,996760
2010,4,5,921320
2011,4,5,851590
2012,4,5,751520
2013,4,5,921580
2014,4,5,929150
2015,4,5,671390
2016,4,5,507390
2017,4,5,390500
2018,4,5,358920
2019,4,5,309950
2020,4,5,262960
2021,4,5,239630
2022,4,5,207550
2023,4,5,300250
2024,4,5,365740
1972,1,6,673410
1973,1,6,559540
1974,1,6,701310
1975,1,6,691840
1976,1,6,565200
1977,1,6,984980
1978,1,6,690510
1979,1,6,622770
1980,1,6,456540
1981,1,6,344610
1982,1,6,286320
1983,1,6,332040
1984,1,6,345970
1985,1,6,408710
1986,1,6,320720
1987,1,6,376060
1988,1,6,581790
1989,1,6,1376600
1990,1,6,545610
1991,1,6,415170
1992,1,6,188650
1993,1,6,310900
1994,1,6,674190
1995,1,6,658560
1996,1,6,381710
1997,1,6,366330
1998,1,6,266560
1999,1,6,311600
2000,1,6,556400
2001,1,6,699370
2002,1,6,447950
2003,1,6,357330
2004,1,6,245760
2005,1,6,327550
2006,1,6,346970
2007,1,6,362340
2008,1,6,427840
2009,1,6,315400
2010,1,6,227990
2011,1,6,233250
2012,1,6,158570
2013,1,6,122510
2014,1,6,153280
2015,1,6,306420
2016,1,6,343580
2017,1,6,253280
2018,1,6,243770
2019,1,6,303200
2020,1,6,253510
2021,1,6,158810
2022,1,6,162930
2023,1,6,83423
2024,1,6,149150
1972,2,6,702620
1973,2,6,902070
1974,2,6,1037500
1975,2,6,938270
1976,2,6,1007600
1977,2,6,1230300
1978,2,6,917720
1979,2,6,847470
1980,2,6,701460
1981,2,6,526770
1982,2,6,506890
1983,2,6,572450
1984,2,6,625150
1985,2,6,635610
1986,2,6,561850
1987,2,6,583490
1988,2,6,1303300
1989,2,6,1403800
1990,2,6,568690
1991,2,6,462500
1992,2,6,276930
1993,2,6,713720
1994,2,6,766760
1995,2,6,801400
1996,2,6,444030
1997,2,6,471430
1998,2,6,421430
1999,2,6,450230
2000,2,6,708660
2001,2,6,810010
2002,2,6,548430
2003,2,6,503130
2004,2,6,372940
2005,2,6,495190
2006,2,6,488870
2007,2,6,546040
2008,2,6,613890
2009,2,6,398790
2010,2,6,389390
2011,2,6,365190
2012,2,6,256560
2013,2,6,274710
2014,2,6,377640
2015,2,6,509560
2016,2,6,534030
2017,2,6,394120
2018,2,6,436480
2019,2,6,463270
2020,2,6,366580
2021,2,6,289920
2022,2,6,293120
2023,2,6,251080
2024,2,6,368070
1972,3,6,563130
1973,3,6,751820
1974,3,6,820820
1975,3,6,659310
1976,3,6,935320
1977,3,6,945360
1978,3,6,749040
1979,3,6,617020
1980,3,6,492840
1981,3,6,375380
1982,3,6,384610
1983,3,6,441380
1984,3,6,485300
1985,3,6,448690
1986,3,6,434400
1987,3,6,436650
1988,3,6,1255500
1989,3,6,965300
1990,3,6,412180
1991,3,6,313100
1992,3,6,212390
1993,3,6,726390
1994,3,6,593530
1995,3,6,600690
1996,3,6,363420
1997,3,6,343060
1998,3,6,355310
1999,3,6,334900
2000,3,6,589810
2001,3,6,640620
2002,3,6,409570
2003,3,6,357020
2004,3,6,309460
2005,3,6,404730
2006,3,6,343990
2007,3,6,452590
2008,3,6,448440
2009,3,6,280870
2010,3,6,303220
2011,3,6,248200
2012,3,6,187670
2013,3,6,207660
2014,3,6,346130
2015,3,6,392220
2016,3,6,380180
2017,3,6,298260
2018,3,6,355050
2019,3,6,345390
2020,3,6,256150
2021,3,6,250420
2022,3,6,190310
2023,3,6,189310
2024,3,6,230920
1972,4,6,526120
1973,4,6,721750
1974,4,6,741260
1975,4,6,542870
1976,4,6,955520
1977,4,6,798070
1978,4,6,670910
1979,4,6,505060
1980,4,6,398230
1981,4,6,302470
1982,4,6,338970
1983,4,6,375280
1984,4,6,431110
1985,4,6,362680
1986,4,6,401360
1987,4,6,391090
1988,4,6,1427700
1989,4,6,720740
1990,4,6,400780
1991,4,6,239750
1992,4,6,200030
1993,4,6,725910
1994,4,6,608900
1995,4,6,477890
1996,4,6,370020
1997,4,6,288850
1998,4,6,331280
1999,4,6,377330
2000,4,6,633150
2001,4,6,546910
2002,4,6,365690
2003,4,6,290730
2004,4,6,313120
2005,4,6,374830
2006,4,6,343830
2007,4,6,429980
2008,4,6,378420
2009,4,6,248870
2010,4,6,291390
2011,4,6,202540
2012,4,6,145260
2013,4,6,168310
2014,4,6,325810
2015,4,6,354510
2016,4,6,304040
2017,4,6,265670
2018,4,6,326270
2019,4,6,292090
2020,4,6,188110
2021,4,6,221670
2022,4,6,135890
2023,4,6,161890
2024,4,6,156400
1972,1,7,1080100
1973,1,7,1162400
1974,1,7,1058000
1975,1,7,993990
1976,1,7,801090
1977,1,7,1032500
1978,1,7,1062200
1979,1,7,997980
1980,1,7,1028200
1981,1,7,871250
1982,1,7,764320
1983,1,7,835060
1984,1,7,905380
1985,1,7,903390
1986,1,7,1016200
1987,1,7,941810
1988,1,7,997160
1989,1,7,962480
1990,1,7,600730
1991,1,7,406970
1992,1,7,352810
1993,1,7,234990
1994,1,7,542780
1995,1,7,667680
1996,1,7,509090
1997,1,7,582370
1998,1,7,465150
1999,1,7,634690
2000,1,7,471960
2001,1,7,446340
2002,1,7,423860
2003,1,7,397980
2004,1,7,389820
2005,1,7,450620
2006,1,7,437040
2007,1,7,574360
2008,1,7,889580
2009,1,7,494010
2010,1,7,630020
2011,1,7,669020
2012,1,7,516040
2013,1,7,613900
2014,1,7,635520
2015,1,7,859770
2016,1,7,1004200
2017,1,7,825600
2018,1,7,780070
2019,1,7,775770
2020,1,7,790800
2021,1,7,703230
2022,1,7,586750
2023,1,7,878840
2024,1,7,1090800
1972,2,7,1276100
1973,2,7,1197700
1974,2,7,1253100
1975,2,7,1083400
1976,2,7,1047500
1977,2,7,1116400
1978,2,7,1101500
1979,2,7,1005900
1980,2,7,1096000
1981,2,7,846370
1982,2,7,875740
1983,2,7,956450
1984,2,7,1055200
1985,2,7,975810
1986,2,7,1031000
1987,2,7,874010
1988,2,7,922670
1989,2,7,805280
1990,2,7,495650
1991,2,7,382670
1992,2,7,415850
1993,2,7,304330
1994,2,7,560910
1995,2,7,559320
1996,2,7,466280
1997,2,7,566190
1998,2,7,476310
1999,2,7,605820
2000,2,7,477660
2001,2,7,466200
2002,2,7,485590
2003,2,7,512130
2004,2,7,447820
2005,2,7,510520
2006,2,7,545740
2007,2,7,653880
2008,2,7,693170
2009,2,7,446600
2010,2,7,659000
2011,2,7,649450
2012,2,7,489170
2013,2,7,538130
2014,2,7,729920
2015,2,7,801930
2016,2,7,828450
2017,2,7,644270
2018,2,7,717170
2019,2,7,784790
2020,2,7,622830
2021,2,7,532350
2022,2,7,597610
2023,2,7,766770
2024,2,7,890610
1972,3,7,1489100
1973,3,7,1448200
1974,3,7,1544100
