year,season,area,ssb
1972,1,1,86233
1973,1,1,97158
1974,1,1,82621
1975,1,1,95520
1976,1,1,91175
1977,1,1,73219
1978,1,1,66661
1979,1,1,74148
1980,1,1,65628
1981,1,1,54378
1982,1,1,52141
1983,1,1,50479
1984,1,1,59660
1985,1,1,63692
1986,1,1,50043
1987,1,1,63281
1988,1,1,67818
1989,1,1,59830
1990,1,1,55364
1991,1,1,47528
1992,1,1,47732
1993,1,1,44339
1994,1,1,44589
1995,1,1,43559
1996,1,1,49407
1997,1,1,43224
1998,1,1,40680
1999,1,1,42301
2000,1,1,44339
2001,1,1,40316
2002,1,1,34750
2003,1,1,34819
2004,1,1,36448
2005,1,1,33708
2006,1,1,35241
2007,1,1,31975
2008,1,1,28490
2009,1,1,29008
2010,1,1,22050
2011,1,1,25720
2012,1,1,28093
2013,1,1,24058
2014,1,1,30421
2015,1,1,27253
2016,1,1,22235
2017,1,1,21752
2018,1,1,21459
2019,1,1,23878
2020,1,1,28934
2021,1,1,21588
2022,1,1,23681
2023,1,1,19475
2024,1,1,29052
1972,2,1,86390
1973,2,1,36217
1974,2,1,30883
1975,2,1,37376
1976,2,1,38069
1977,2,1,32426
1978,2,1,29677
1979,2,1,28563
1980,2,1,29135
1981,2,1,23113
1982,2,1,25580
1983,2,1,23453
1984,2,1,24112
1985,2,1,24325
1986,2,1,24463
1987,2,1,27343
1988,2,1,27773
1989,2,1,23445
1990,2,1,22841
1991,2,1,17025
1992,2,1,18305
1993,2,1,16350
1994,2,1,18914
1995,2,1,18452
1996,2,1,17891
1997,2,1,18067
1998,2,1,13628
1999,2,1,15311
2000,2,1,14407
2001,2,1,13384
2002,2,1,11626
2003,2,1,11712
2004,2,1,12313
2005,2,1,12626
2006,2,1,12474
2007,2,1,12066
2008,2,1,11007
2009,2,1,11055
2010,2,1,7794.6
2011,2,1,9315.8
2012,2,1,9927.3
2013,2,1,9228.7
2014,2,1,11453
2015,2,1,10087
2016,2,1,7939.8
2017,2,1,8160.5
2018,2,1,9395.2
2019,2,1,8903.2
2020,2,1,9803.3
2021,2,1,6277.8
2022,2,1,8768.4
2023,2,1,8135.8
2024,2,1,11061
1972,3,1,150940
1973,3,1,77501
1974,3,1,68070
1975,3,1,76503
1976,3,1,71344
1977,3,1,61764
1978,3,1,57139
1979,3,1,62453
1980,3,1,51465
1981,3,1,42868
1982,3,1,51744
1983,3,1,52619
1984,3,1,47687
1985,3,1,38176
1986,3,1,50316
1987,3,1,63841
1988,3,1,62959
1989,3,1,54283
1990,3,1,50124
1991,3,1,40056
1992,3,1,37268
1993,3,1,34303
1994,3,1,45706
1995,3,1,56604
1996,3,1,30644
1997,3,1,33628
1998,3,1,38503
1999,3,1,30471
2000,3,1,35499
2001,3,1,25216
2002,3,1,28213
2003,3,1,24053
2004,3,1,20460
2005,3,1,27903
2006,3,1,27794
2007,3,1,17987
2008,3,1,28437
2009,3,1,15996
2010,3,1,21227
2011,3,1,21011
2012,3,1,16403
2013,3,1,18649
2014,3,1,24540
2015,3,1,21550
2016,3,1,22095
2017,3,1,18239
2018,3,1,21195
2019,3,1,21667
2020,3,1,24734
2021,3,1,17987
2022,3,1,16707
2023,3,1,23832
2024,3,1,28667
1972,4,1,268390
1973,4,1,197070
1974,4,1,222080
1975,4,1,212730
1976,4,1,196770
1977,4,1,172610
1978,4,1,179650
1979,4,1,178450
1980,4,1,154340
1981,4,1,132000
1982,4,1,138080
1983,4,1,153240
1984,4,1,157720
1985,4,1,124430
1986,4,1,149170
1987,4,1,160100
1988,4,1,155050
1989,4,1,149170
1990,4,1,120990
1991,4,1,113950
1992,4,1,104150
1993,4,1,105890
1994,4,1,113250
1995,4,1,132830
1996,4,1,93980
1997,4,1,104600
1998,4,1,114000
1999,4,1,110520
2000,4,1,112760
2001,4,1,90351
2002,4,1,99507
2003,4,1,99788
2004,4,1,85806
2005,4,1,99410
2006,4,1,92179
2007,4,1,79462
2008,4,1,82263
