year,season,fishery,area,t
1990,1,5,2,0
1991,1,5,2,0
1992,1,5,2,0
1993,1,5,2,0
1994,1,5,2,0
1995,1,5,2,0
1996,1,5,2,0
1997,1,5,2,0
1998,1,5,2,0
1999,1,5,2,0
2000,1,5,2,0
2001,1,5,2,0
2002,1,5,2,0
2003,1,5,2,0
2004,1,5,2,0
2005,1,5,2,0
2006,1,5,2,0
2007,1,5,2,0
2008,1,5,2,0
2009,1,5,2,0
2010,1,5,2,0
2011,1,5,2,0
2012,1,5,2,0
2013,1,5,2,0
2014,1,5,2,0
2015,1,5,2,0
2016,1,5,2,0
2017,1,5,2,0
2018,1,5,2,0
2019,1,5,2,0
2020,1,5,2,0
2021,1,5,2,0
2022,1,5,2,0
2023,1,5,2,0
2024,1,5,2,0
1972,1,6,2,0
1973,1,6,2,0
1974,1,6,2,0
1975,1,6,2,0
1976,1,6,2,0
1977,1,6,2,0
1978,1,6,2,0
1979,1,6,2,0
1980,1,6,2,0
1981,1,6,2,0
1982,1,6,2,0
1983,1,6,2,0
1984,1,6,2,0
1985,1,6,2,0
1986,1,6,2,0
1987,1,6,2,0
1988,1,6,2,0
1989,1,6,2,0
1990,1,6,2,0
1991,1,6,2,0
1992,1,6,2,0
1993,1,6,2,0
1994,1,6,2,0
1995,1,6,2,0
1996,1,6,2,0
1997,1,6,2,0
1998,1,6,2,0
1999,1,6,2,0
2000,1,6,2,0
2001,1,6,2,0
2002,1,6,2,0
2003,1,6,2,0
2004,1,6,2,0
2005,1,6,2,0
2006,1,6,2,0
2007,1,6,2,0
2008,1,6,2,0
2009,1,6,2,0
2010,1,6,2,0
2011,1,6,2,0
2012,1,6,2,0
2013,1,6,2,0
2014,1,6,2,0
2015,1,6,2,0
2016,1,6,2,0
2017,1,6,2,0
2018,1,6,2,0
2019,1,6,2,0
2020,1,6,2,0
2021,1,6,2,0
2022,1,6,2,0
2023,1,6,2,0
2024,1,6,2,0
1972,1,7,3,7704.1
1973,1,7,3,4342.63
1974,1,7,3,6550.33
1975,1,7,3,7301.98
1976,1,7,3,10339.1
1977,1,7,3,9304.03
1978,1,7,3,9419.8
1979,1,7,3,13243.7
1980,1,7,3,13006.1
1981,1,7,3,11616.2
1982,1,7,3,10581.1
1983,1,7,3,11111.3
1984,1,7,3,10041.3
1985,1,7,3,9215.65
1986,1,7,3,11345.6
1987,1,7,3,10988.5
1988,1,7,3,11880.3
1989,1,7,3,7178.85
1990,1,7,3,9162.4
1991,1,7,3,5100.03
1992,1,7,3,7073
1993,1,7,3,8584.33
1994,1,7,3,6412.55
1995,1,7,3,7268.93
1996,1,7,3,5049.3
1997,1,7,3,6173.83
1998,1,7,3,5551.33
1999,1,7,3,4169.93
2000,1,7,3,4355.35
2001,1,7,3,3359.73
2002,1,7,3,7881.48
2003,1,7,3,12967.4
2004,1,7,3,6891.58
2005,1,7,3,7413.65
2006,1,7,3,5931
2007,1,7,3,4295.75
2008,1,7,3,3635.63
2009,1,7,3,7058.35
2010,1,7,3,5370.03
2011,1,7,3,4907.68
2012,1,7,3,4622.9
2013,1,7,3,6797
2014,1,7,3,5351.48
2015,1,7,3,7267.03
2016,1,7,3,6854.68
2017,1,7,3,4812.9
2018,1,7,3,4851.13
2019,1,7,3,2830.2
2020,1,7,3,1339.5
2021,1,7,3,1953.9
2022,1,7,3,2793
2023,1,7,3,2474.8
2024,1,7,3,4068.5
1972,1,8,3,0
1973,1,8,3,0
1974,1,8,3,0
1975,1,8,3,0.643
1976,1,8,3,0
1977,1,8,3,0
1978,1,8,3,0
1979,1,8,3,0
1980,1,8,3,0
1981,1,8,3,0
1982,1,8,3,0
1983,1,8,3,10.229
1984,1,8,3,0
1985,1,8,3,14.626
1986,1,8,3,0
1987,1,8,3,106.428
1988,1,8,3,519.223
1989,1,8,3,274.994
1990,1,8,3,99.446
1991,1,8,3,44.8
1992,1,8,3,20.053
1993,1,8,3,0
1994,1,8,3,2.2
1995,1,8,3,0
1996,1,8,3,0
1997,1,8,3,0
1998,1,8,3,1.5
1999,1,8,3,0
2000,1,8,3,0
2001,1,8,3,1.399
2002,1,8,3,4.4
2003,1,8,3,0
2004,1,8,3,29.204
2005,1,8,3,16.406
2006,1,8,3,16.801
2007,1,8,3,19
2008,1,8,3,26.992
2009,1,8,3,18.3
2010,1,8,3,0.7
2011,1,8,3,13.501
2012,1,8,3,2.899
2013,1,8,3,0.497
2014,1,8,3,0
2015,1,8,3,0.999
2016,1,8,3,0.3
2017,1,8,3,55.16
2018,1,8,3,0.201
2019,1,8,3,52.449
2020,1,8,3,34.169
2021,1,8,3,1.6
2022,1,8,3,0
2023,1,8,3,0.2
2024,1,8,3,253.905
1972,1,9,3,0
1973,1,9,3,0
1974,1,9,3,0
1975,1,9,3,0
1976,1,9,3,0
1977,1,9,3,0
1978,1,9,3,0
1979,1,9,3,0
1980,1,9,3,0
1981,1,9,3,0
1982,1,9,3,0
1983,1,9,3,0
1984,1,9,3,0
1985,1,9,3,0
1986,1,9,3,0
1987,1,9,3,0
1988,1,9,3,0
1989,1,9,3,0
1990,1,9,3,0
1991,1,9,3,0
1992,1,9,3,0
1993,1,9,3,0
1994,1,9,3,0
1995,1,9,3,0
1996,1,9,3,0
1997,1,9,3,0
1998,1,9,3,0
1999,1,9,3,0
2000,1,9,3,0
2001,1,9,3,0
2002,1,9,3,0
2003,1,9,3,0
2004,1,9,3,0
2005,1,9,3,0
2006,1,9,3,0
2007,1,9,3,0
2008,1,9,3,0
2009,1,9,3,0
2010,1,9,3,0
2011,1,9,3,0
2012,1,9,3,0
2013,1,9,3,0
2014,1,9,3,0
2015,1,9,3,0
2016,1,9,3,0
2017,1,9,3,0
2018,1,9,3,0
2019,1,9,3,0
2020,1,9,3,0
2021,1,9,3,0
