year,season,fishery,area,t
2014,1,21,6,25604.6
2015,1,21,6,9886.8
2016,1,21,6,10267.5
2017,1,21,6,37695.6
2018,1,21,6,33696.5
2019,1,21,6,47796.2
2020,1,21,6,33711.8
2021,1,21,6,60031.3
2022,1,21,6,41343.7
2023,1,21,6,57276.5
2024,1,21,6,39144.4
1972,1,22,6,0
1973,1,22,6,0
1974,1,22,6,0
1975,1,22,6,0
1976,1,22,6,0
1977,1,22,6,0
1978,1,22,6,0
1979,1,22,6,0
1980,1,22,6,0
1981,1,22,6,0
1982,1,22,6,0
1983,1,22,6,0
1984,1,22,6,0
1985,1,22,6,0
1986,1,22,6,0
1987,1,22,6,0
1988,1,22,6,0
1989,1,22,6,0
1990,1,22,6,0
1991,1,22,6,0
1992,1,22,6,0
1993,1,22,6,0
1994,1,22,6,0
1995,1,22,6,0
1996,1,22,6,0
1997,1,22,6,0
1998,1,22,6,0
1999,1,22,6,0
2000,1,22,6,0
2001,1,22,6,0
2002,1,22,6,0
2003,1,22,6,0
2004,1,22,6,0
2005,1,22,6,0
2006,1,22,6,0
2007,1,22,6,0
2008,1,22,6,0
2009,1,22,6,0
2010,1,22,6,0
2011,1,22,6,0
2012,1,22,6,0
2013,1,22,6,0
2014,1,22,6,0
2015,1,22,6,0
2016,1,22,6,0
2017,1,22,6,0
2018,1,22,6,0
2019,1,22,6,0
2020,1,22,6,0
2021,1,22,6,0
2022,1,22,6,0
2023,1,22,6,0
2024,1,22,6,0
1972,1,23,4,538.9
1973,1,23,4,3395.3
1974,1,23,4,69
1975,1,23,4,5075.3
1976,1,23,4,1575.2
1977,1,23,4,3043.6
1978,1,23,4,1694.8
1979,1,23,4,8155.2
1980,1,23,4,1236.3
1981,1,23,4,2077.2
1982,1,23,4,5864.4
1983,1,23,4,6334.3
1984,1,23,4,10876.4
1985,1,23,4,946.6
1986,1,23,4,3899
1987,1,23,4,12328
1988,1,23,4,3753.1
1989,1,23,4,1577.3
1990,1,23,4,737.9
1991,1,23,4,858.3
1992,1,23,4,67.4
1993,1,23,4,1705.9
1994,1,23,4,1181.3
1995,1,23,4,3044.1
1996,1,23,4,838.6
1997,1,23,4,1202.2
1998,1,23,4,8753.5
1999,1,23,4,9108
2000,1,23,4,4192.4
2001,1,23,4,9699.6
2002,1,23,4,11114.7
2003,1,23,4,3766.3
2004,1,23,4,203.5
2005,1,23,4,2370.3
2006,1,23,4,1958.7
2007,1,23,4,11874.3
2008,1,23,4,4353.8
2009,1,23,4,127.5
2010,1,23,4,2474.4
2011,1,23,4,3
2012,1,23,4,4310.1
2013,1,23,4,169.5
2014,1,23,4,853.6
2015,1,23,4,4315.8
2016,1,23,4,4225.9
2017,1,23,4,3883
2018,1,23,4,7112.9
2019,1,23,4,9107.6
2020,1,23,4,1107.6
2021,1,23,4,3818.5
2022,1,23,4,2045.2
2023,1,23,4,4311
2024,1,23,4,1926.7
1972,1,24,4,0
1973,1,24,4,0
1974,1,24,4,0
1975,1,24,4,0
1976,1,24,4,0
1977,1,24,4,0
1978,1,24,4,0
1979,1,24,4,0
1980,1,24,4,0
1981,1,24,4,0
1982,1,24,4,0
1983,1,24,4,0
1984,1,24,4,0
1985,1,24,4,0
1986,1,24,4,0
1987,1,24,4,0
1988,1,24,4,0
1989,1,24,4,0
1990,1,24,4,0
1991,1,24,4,0
1992,1,24,4,0
1993,1,24,4,0
1994,1,24,4,0
1995,1,24,4,0
1996,1,24,4,0
1997,1,24,4,0
1998,1,24,4,0
1999,1,24,4,0
2000,1,24,4,0
2001,1,24,4,0
2002,1,24,4,0
2003,1,24,4,0
2004,1,24,4,0
2005,1,24,4,0
2006,1,24,4,0
2007,1,24,4,0
2008,1,24,4,0
2009,1,24,4,0
2010,1,24,4,0
2011,1,24,4,0
2012,1,24,4,0
2013,1,24,4,0
2014,1,24,4,0
2015,1,24,4,0
2016,1,24,4,0
2017,1,24,4,0
2018,1,24,4,0
2019,1,24,4,0
2020,1,24,4,0
2021,1,24,4,0
2022,1,24,4,0
2023,1,24,4,0
2024,1,24,4,0
1972,1,25,7,17665.9
1973,1,25,7,17421.2
1974,1,25,7,16659.2
1975,1,25,7,8448
1976,1,25,7,12813.4
1977,1,25,7,19653.3
1978,1,25,7,24776.1
1979,1,25,7,17156.2
1980,1,25,7,13964.9
1981,1,25,7,9793
1982,1,25,7,6652.6
1983,1,25,7,6058.61
1984,1,25,7,23806.4
1985,1,25,7,5009.5
1986,1,25,7,20257.7
1987,1,25,7,2569.4
1988,1,25,7,5014.21
1989,1,25,7,30364.4
1990,1,25,7,6677.4
1991,1,25,7,1791.34
1992,1,25,7,795.25
1993,1,25,7,1446.18
1994,1,25,7,4947.17
1995,1,25,7,7505.16
1996,1,25,7,1397.26
1997,1,25,7,2452.09
1998,1,25,7,528.41
1999,1,25,7,2178.6
2000,1,25,7,6306.5
2001,1,25,7,347
2002,1,25,7,107
2003,1,25,7,12290.2
2004,1,25,7,831
2005,1,25,7,7873.1
2006,1,25,7,3957.03
2007,1,25,7,143.856
2008,1,25,7,4554.48
2009,1,25,7,2869.6
2010,1,25,7,412.1
2011,1,25,7,6950.6
2012,1,25,7,1003.7
2013,1,25,7,5255.5
2014,1,25,7,2181.4
2015,1,25,7,2169.7
2016,1,25,7,1079.4
2017,1,25,7,474.7
2018,1,25,7,346.4
2019,1,25,7,181.1
2020,1,25,7,234.2
2021,1,25,7,415.9
2022,1,25,7,1081
2023,1,25,7,1012.4
2024,1,25,7,258
1972,1,26,7,86.37
1973,1,26,7,246.101
1974,1,26,7,446.224
1975,1,26,7,333.362
1976,1,26,7,1147.49
1977,1,26,7,764.106
1978,1,26,7,1109.23
1979,1,26,7,1347.75
1980,1,26,7,1175.78
1981,1,26,7,5429.5
1982,1,26,7,13995.2
1983,1,26,7,8944.42
1984,1,26,7,23182.8
1985,1,26,7,13426.1
1986,1,26,7,27554.3
1987,1,26,7,26388.1
1988,1,26,7,40040.6
1989,1,26,7,19989.7
1990,1,26,7,34250.7
1991,1,26,7,35133.4
1992,1,26,7,20782.5
1993,1,26,7,32257.4
1994,1,26,7,50262.6
1995,1,26,7,40459.2
1996,1,26,7,51717.4
1997,1,26,7,31817.1
1998,1,26,7,33641
1999,1,26,7,45001.3
2000,1,26,7,31895.3
2001,1,26,7,27414.8
2002,1,26,7,77278
2003,1,26,7,57985
2004,1,26,7,86268.4
2005,1,26,7,58181
2006,1,26,7,87579
2007,1,26,7,109322
2008,1,26,7,135223
2009,1,26,7,82337.1
2010,1,26,7,46578
2011,1,26,7,97032.6
2012,1,26,7,70896.3
2013,1,26,7,114082
2014,1,26,7,100094
2015,1,26,7,45637.3
2016,1,26,7,28631.4
2017,1,26,7,63080
2018,1,26,7,96322.4
2019,1,26,7,62909.8
2020,1,26,7,18762.1
2021,1,26,7,106553
2022,1,26,7,101991
2023,1,26,7,46375.9
2024,1,26,7,82095.4
1972,1,27,7,0
1973,1,27,7,0.964
1974,1,27,7,3.914
1975,1,27,7,172.258
1976,1,27,7,0
1977,1,27,7,7.718
1978,1,27,7,333.645
1979,1,27,7,128.738
1980,1,27,7,802.71
1981,1,27,7,1237.03
1982,1,27,7,2222.76
1983,1,27,7,5074.93
1984,1,27,7,20309.2
1985,1,27,7,13390.7
1986,1,27,7,5870.44
1987,1,27,7,19557
1988,1,27,7,9255.91
1989,1,27,7,29345.6
1990,1,27,7,19779.7
1991,1,27,7,35291.5
1992,1,27,7,9025.13
1993,1,27,7,33745.7
1994,1,27,7,35711.4
1995,1,27,7,89024.6
1996,1,27,7,43564.7
1997,1,27,7,30065.3
1998,1,27,7,21144.1
1999,1,27,7,40375
2000,1,27,7,57471.2
2001,1,27,7,59669.8
2002,1,27,7,24246.5
2003,1,27,7,101045
2004,1,27,7,26107.5
2005,1,27,7,55751.8
2006,1,27,7,56931.8
2007,1,27,7,43372.5
2008,1,27,7,65064.8
2009,1,27,7,59127.9
2010,1,27,7,35352.9
2011,1,27,7,46158.2
2012,1,27,7,70626.3
2013,1,27,7,69727.6
2014,1,27,7,38591.9
2015,1,27,7,54991.8
2016,1,27,7,64632.6
2017,1,27,7,62144.3
2018,1,27,7,68150.6
2019,1,27,7,35898.3
2020,1,27,7,56437
2021,1,27,7,67875.3
2022,1,27,7,45867.9
2023,1,27,7,60969.2
2024,1,27,7,49636.2
1972,1,28,7,0
1973,1,28,7,0
1974,1,28,7,0
1975,1,28,7,0
1976,1,28,7,0
1977,1,28,7,0
1978,1,28,7,0
1979,1,28,7,0
1980,1,28,7,0
1981,1,28,7,0
1982,1,28,7,0
1983,1,28,7,0
1984,1,28,7,0
1985,1,28,7,0
1986,1,28,7,0
1987,1,28,7,0
1988,1,28,7,0
1989,1,28,7,0
1990,1,28,7,0
1991,1,28,7,0
1992,1,28,7,0
1993,1,28,7,0
1994,1,28,7,0
1995,1,28,7,0
1996,1,28,7,0
1997,1,28,7,0
1998,1,28,7,0
1999,1,28,7,0
2000,1,28,7,0
2001,1,28,7,0
2002,1,28,7,0
2003,1,28,7,0
2004,1,28,7,0
2005,1,28,7,0
2006,1,28,7,0
2007,1,28,7,0
2008,1,28,7,0
2009,1,28,7,0
2010,1,28,7,0
2011,1,28,7,0
2012,1,28,7,0
2013,1,28,7,0
2014,1,28,7,0
2015,1,28,7,0
2016,1,28,7,0
2017,1,28,7,0
2018,1,28,7,0
2019,1,28,7,0
2020,1,28,7,0
2021,1,28,7,0
2022,1,28,7,0
2023,1,28,7,0
2024,1,28,7,0
1972,1,29,8,209.7
1973,1,29,8,220.2
1974,1,29,8,153
1975,1,29,8,3621.7
1976,1,29,8,8467.94
1977,1,29,8,11302.2
1978,1,29,8,24232.7
1979,1,29,8,3713.54
1980,1,29,8,10194.3
1981,1,29,8,17404.8
1982,1,29,8,9274.67
1983,1,29,8,14090.4
1984,1,29,8,4280.12
1985,1,29,8,8882.57
1986,1,29,8,2530.66
1987,1,29,8,9991.23
1988,1,29,8,11774.1
1989,1,29,8,2942.94
1990,1,29,8,2841.64
1991,1,29,8,1706.51
1992,1,29,8,1766.98
1993,1,29,8,7398.33
1994,1,29,8,4426.83
1995,1,29,8,5764.41
1996,1,29,8,5206.14
1997,1,29,8,9631.21
1998,1,29,8,114.57
1999,1,29,8,1432.88
2000,1,29,8,1471.11
2001,1,29,8,1947.1
2002,1,29,8,189.311
2003,1,29,8,162.6
2004,1,29,8,6317.4
2005,1,29,8,1478.8
2006,1,29,8,3733.2
2007,1,29,8,106
2008,1,29,8,1716.5
2009,1,29,8,1245.5
2010,1,29,8,5293.32
2011,1,29,8,2423.8
2012,1,29,8,417.4
2013,1,29,8,786.6
2014,1,29,8,4979.9
2015,1,29,8,92.6
2016,1,29,8,321
2017,1,29,8,214.5
2018,1,29,8,11
2019,1,29,8,34.6
2020,1,29,8,1838.8
2021,1,29,8,482
2022,1,29,8,22
2023,1,29,8,0
2024,1,29,8,0
1972,1,30,8,0
1973,1,30,8,0
1974,1,30,8,0
1975,1,30,8,0
1976,1,30,8,0
1977,1,30,8,0
1978,1,30,8,0
1979,1,30,8,0
1980,1,30,8,0
1981,1,30,8,0
1982,1,30,8,744.36
1983,1,30,8,3872.35
1984,1,30,8,5430.1
1985,1,30,8,462.759
1986,1,30,8,176.615
1987,1,30,8,123.301
1988,1,30,8,245.206
1989,1,30,8,103.304
1990,1,30,8,2976.22
1991,1,30,8,22.087
1992,1,30,8,6382.41
1993,1,30,8,11765.4
1994,1,30,8,11615
1995,1,30,8,4910.89
1996,1,30,8,3971.25
1997,1,30,8,12554.8
1998,1,30,8,34544.6
1999,1,30,8,10814.8
2000,1,30,8,18676.6
2001,1,30,8,8714.19
2002,1,30,8,42749
2003,1,30,8,438.873
2004,1,30,8,21943.1
2005,1,30,8,18818
2006,1,30,8,4892.53
2007,1,30,8,10608.5
2008,1,30,8,29193
2009,1,30,8,35833.6
2010,1,30,8,92644.4
2011,1,30,8,67388.9
2012,1,30,8,35231.3
2013,1,30,8,33349
2014,1,30,8,123583
2015,1,30,8,116742
2016,1,30,8,75685.9
2017,1,30,8,71376.3
2018,1,30,8,103218
2019,1,30,8,122566
2020,1,30,8,98868.8
2021,1,30,8,108232
2022,1,30,8,85291.6
2023,1,30,8,40572.7
2024,1,30,8,189972
1972,1,31,8,0
1973,1,31,8,0
1974,1,31,8,0
1975,1,31,8,0
1976,1,31,8,0
1977,1,31,8,0
1978,1,31,8,0
1979,1,31,8,0
1980,1,31,8,0
1981,1,31,8,0
1982,1,31,8,12.769
1983,1,31,8,273.037
1984,1,31,8,1463.73
1985,1,31,8,251.218
1986,1,31,8,1439.65
1987,1,31,8,979.631
1988,1,31,8,1896.89
1989,1,31,8,106.943
1990,1,31,8,5401.25
1991,1,31,8,207.105
1992,1,31,8,11698.9
1993,1,31,8,10181.3
1994,1,31,8,7463.64
1995,1,31,8,14864.6
1996,1,31,8,2208.6
1997,1,31,8,167.548
1998,1,31,8,3108.28
1999,1,31,8,136.038
2000,1,31,8,1007.37
2001,1,31,8,2395.95
2002,1,31,8,15064.1
2003,1,31,8,260.499
2004,1,31,8,4291.25
2005,1,31,8,2130.77
2006,1,31,8,1079.85
2007,1,31,8,861.074
2008,1,31,8,3885.18
2009,1,31,8,2955.75
2010,1,31,8,20776
2011,1,31,8,1354.21
2012,1,31,8,27436.1
2013,1,31,8,2916.1
2014,1,31,8,43424.9
2015,1,31,8,77867.8
2016,1,31,8,32099.9
2017,1,31,8,7565.53
2018,1,31,8,10223.1
2019,1,31,8,54212.5
2020,1,31,8,39688.9
2021,1,31,8,5040.65
2022,1,31,8,17289.5
2023,1,31,8,4060.48
2024,1,31,8,31153.8
1972,1,32,8,0
1973,1,32,8,0
1974,1,32,8,0
1975,1,32,8,0
1976,1,32,8,0
1977,1,32,8,0
1978,1,32,8,0
1979,1,32,8,0
1980,1,32,8,0
1981,1,32,8,0
1982,1,32,8,0
1983,1,32,8,0
1984,1,32,8,0
1985,1,32,8,0
1986,1,32,8,0
1987,1,32,8,0
1988,1,32,8,0
1989,1,32,8,0
1990,1,32,8,0
1991,1,32,8,0
1992,1,32,8,0
1993,1,32,8,0
1994,1,32,8,0
1995,1,32,8,0
1996,1,32,8,0
1997,1,32,8,0
1998,1,32,8,0
1999,1,32,8,0
2000,1,32,8,0
2001,1,32,8,0
2002,1,32,8,0
2003,1,32,8,0
2004,1,32,8,0
2005,1,32,8,0
2006,1,32,8,0
2007,1,32,8,0
2008,1,32,8,0
2009,1,32,8,0
2010,1,32,8,0
2011,1,32,8,0
2012,1,32,8,0
2013,1,32,8,0
2014,1,32,8,0
2015,1,32,8,0
2016,1,32,8,0
2017,1,32,8,0
2018,1,32,8,0
2019,1,32,8,0
2020,1,32,8,0
2021,1,32,8,0
2022,1,32,8,0
2023,1,32,8,0
2024,1,32,8,0
1972,1,33,1,3.04011e-06
1973,1,33,1,1.36544e-06
1974,1,33,1,1.28267e-06
1975,1,33,1,1.74258e-06
1976,1,33,1,1.8654e-06
1977,1,33,1,1.02143e-06
1978,1,33,1,1.1447e-06
1979,1,33,1,1.23026e-06
1980,1,33,1,9.85672e-07
1981,1,33,1,7.38819e-07
1982,1,33,1,9.68886e-07
1983,1,33,1,1.03418e-06
1984,1,33,1,1.11234e-06
1985,1,33,1,1.12078e-06
1986,1,33,1,8.90264e-07
1987,1,33,1,1.05434e-06
1988,1,33,1,1.32997e-06
1989,1,33,1,1.00873e-06
1990,1,33,1,8.95347e-07
1991,1,33,1,8.16661e-07
1992,1,33,1,8.41446e-07
1993,1,33,1,7.30994e-07
1994,1,33,1,8.3677e-07
1995,1,33,1,7.2684e-07
1996,1,33,1,8.0901e-07
1997,1,33,1,9.18117e-07
1998,1,33,1,5.17026e-07
1999,1,33,1,8.64753e-07
2000,1,33,1,5.40837e-07
2001,1,33,1,5.13006e-07
2002,1,33,1,4.72059e-07
2003,1,33,1,4.89674e-07
2004,1,33,1,5.42033e-07
2005,1,33,1,6.973e-07
2006,1,33,1,4.81654e-07
2007,1,33,1,5.66667e-07
2008,1,33,1,4.67855e-07
2009,1,33,1,4.46117e-07
2010,1,33,1,3.51616e-07
2011,1,33,1,3.48326e-07
2012,1,33,1,3.70898e-07
2013,1,33,1,4.54969e-07
2014,1,33,1,3.83486e-07
2015,1,33,1,3.73698e-07
2016,1,33,1,2.79394e-07
2017,1,33,1,3.27974e-07
2018,1,33,1,5.39798e-07
2019,1,33,1,3.47029e-07
2020,1,33,1,2.87727e-07
2021,1,33,1,2.46799e-07
2022,1,33,1,3.29871e-07
2023,1,33,1,3.486e-07
2024,1,33,1,0
1972,1,34,2,4.29289e-06
1973,1,34,2,2.26887e-06
1974,1,34,2,2.99526e-06
1975,1,34,2,2.22695e-06
1976,1,34,2,2.53475e-06
1977,1,34,2,1.49283e-06
1978,1,34,2,1.49001e-06
1979,1,34,2,1.8356e-06
1980,1,34,2,1.31135e-06
1981,1,34,2,1.01771e-06
1982,1,34,2,1.51682e-06
1983,1,34,2,1.31769e-06
1984,1,34,2,2.19309e-06
1985,1,34,2,1.45641e-06
1986,1,34,2,1.42158e-06
1987,1,34,2,2.01879e-06
1988,1,34,2,2.71274e-06
1989,1,34,2,1.78431e-06
1990,1,34,2,1.61369e-06
1991,1,34,2,1.643e-06
1992,1,34,2,1.30065e-06
1993,1,34,2,1.44727e-06
1994,1,34,2,1.12276e-06
1995,1,34,2,1.37495e-06
1996,1,34,2,1.18991e-06
1997,1,34,2,1.40028e-06
1998,1,34,2,1.02776e-06
1999,1,34,2,8.93208e-07
2000,1,34,2,1.27479e-06
2001,1,34,2,6.61372e-07
2002,1,34,2,6.9717e-07
2003,1,34,2,6.85334e-07
2004,1,34,2,6.14925e-07
2005,1,34,2,8.908e-07
2006,1,34,2,5.83707e-07
2007,1,34,2,5.81063e-07
2008,1,34,2,7.44688e-07
2009,1,34,2,5.95754e-07
2010,1,34,2,7.18946e-07
2011,1,34,2,5.52569e-07
2012,1,34,2,6.25109e-07
2013,1,34,2,6.43628e-07
2014,1,34,2,5.88743e-07
2015,1,34,2,6.9544e-07
2016,1,34,2,4.49446e-07
2017,1,34,2,5.7196e-07
2018,1,34,2,1.05672e-06
2019,1,34,2,6.36991e-07
2020,1,34,2,5.61079e-07
2021,1,34,2,5.17579e-07
2022,1,34,2,4.3569e-07
2023,1,34,2,5.16739e-07
2024,1,34,2,0
1972,1,35,3,2.20921e-05
1973,1,35,3,2.31547e-05
1974,1,35,3,1.79744e-05
1975,1,35,3,2.25305e-05
1976,1,35,3,2.3347e-05
1977,1,35,3,1.83207e-05
1978,1,35,3,1.99741e-05
1979,1,35,3,2.01117e-05
1980,1,35,3,1.83447e-05
1981,1,35,3,1.41086e-05
1982,1,35,3,1.58549e-05
1983,1,35,3,1.89725e-05
1984,1,35,3,1.91552e-05
1985,1,35,3,1.8224e-05
1986,1,35,3,1.43639e-05
1987,1,35,3,1.60724e-05
1988,1,35,3,1.84458e-05
1989,1,35,3,1.89041e-05
1990,1,35,3,1.589e-05
1991,1,35,3,1.50723e-05
1992,1,35,3,1.50073e-05
1993,1,35,3,1.21219e-05
1994,1,35,3,1.28935e-05
1995,1,35,3,1.14532e-05
1996,1,35,3,1.18125e-05
1997,1,35,3,1.12997e-05
1998,1,35,3,1.08514e-05
1999,1,35,3,1.25658e-05
2000,1,35,3,1.12431e-05
2001,1,35,3,1.13637e-05
2002,1,35,3,8.86447e-06
2003,1,35,3,1.0378e-05
2004,1,35,3,9.66293e-06
2005,1,35,3,1.0539e-05
2006,1,35,3,9.20048e-06
2007,1,35,3,9.35074e-06
2008,1,35,3,9.05416e-06
2009,1,35,3,7.54933e-06
2010,1,35,3,6.85719e-06
2011,1,35,3,6.51951e-06
2012,1,35,3,7.16472e-06
2013,1,35,3,8.46101e-06
2014,1,35,3,7.05553e-06
2015,1,35,3,6.59084e-06
2016,1,35,3,5.14656e-06
2017,1,35,3,5.97167e-06
2018,1,35,3,6.96559e-06
2019,1,35,3,6.16671e-06
2020,1,35,3,5.77058e-06
2021,1,35,3,5.54549e-06
2022,1,35,3,7.65998e-06
2023,1,35,3,7.56377e-06
2024,1,35,3,0
1972,1,36,4,0.000104041
1973,1,36,4,0.000117239
1974,1,36,4,0.000114131
1975,1,36,4,0.000104838
1976,1,36,4,8.96603e-05
1977,1,36,4,7.97604e-05
1978,1,36,4,8.89353e-05
1979,1,36,4,9.21495e-05
1980,1,36,4,6.6074e-05
1981,1,36,4,6.51924e-05
1982,1,36,4,6.12612e-05
1983,1,36,4,6.60984e-05
1984,1,36,4,9.31836e-05
1985,1,36,4,8.69506e-05
1986,1,36,4,6.93587e-05
1987,1,36,4,9.92106e-05
1988,1,36,4,8.97564e-05
1989,1,36,4,8.54065e-05
1990,1,36,4,6.78906e-05
1991,1,36,4,6.09199e-05
1992,1,36,4,7.68942e-05
1993,1,36,4,7.44293e-05
1994,1,36,4,7.03608e-05
1995,1,36,4,5.87189e-05
1996,1,36,4,7.81889e-05
1997,1,36,4,6.00266e-05
1998,1,36,4,8.04755e-05
1999,1,36,4,8.52663e-05
2000,1,36,4,7.16154e-05
2001,1,36,4,5.70404e-05
2002,1,36,4,5.98884e-05
2003,1,36,4,5.71054e-05
2004,1,36,4,6.20747e-05
2005,1,36,4,5.57483e-05
2006,1,36,4,7.45085e-05
2007,1,36,4,5.74797e-05
2008,1,36,4,4.91444e-05
2009,1,36,4,4.33911e-05
2010,1,36,4,4.17592e-05
2011,1,36,4,4.98777e-05
2012,1,36,4,4.27974e-05
2013,1,36,4,5.64466e-05
2014,1,36,4,4.78768e-05
2015,1,36,4,3.25286e-05
2016,1,36,4,3.0218e-05
2017,1,36,4,2.99814e-05
2018,1,36,4,3.29175e-05
2019,1,36,4,4.63004e-05
2020,1,36,4,4.60195e-05
2021,1,36,4,3.90507e-05
2022,1,36,4,4.13045e-05
2023,1,36,4,4.25656e-05
2024,1,36,4,0
1972,1,37,5,0
1973,1,37,5,0
1974,1,37,5,0
1975,1,37,5,0
1976,1,37,5,0
1977,1,37,5,0
1978,1,37,5,0
1979,1,37,5,0
1980,1,37,5,0
1981,1,37,5,0
1982,1,37,5,0
1983,1,37,5,0
1984,1,37,5,0
1985,1,37,5,0
1986,1,37,5,0
1987,1,37,5,0
1988,1,37,5,0
1989,1,37,5,0
1990,1,37,5,0
1991,1,37,5,0
1992,1,37,5,0
1993,1,37,5,0
1994,1,37,5,0
1995,1,37,5,0
1996,1,37,5,0
1997,1,37,5,0
1998,1,37,5,0
1999,1,37,5,0
2000,1,37,5,0
2001,1,37,5,0
2002,1,37,5,0
2003,1,37,5,0
2004,1,37,5,0
2005,1,37,5,0.000133573
2006,1,37,5,0.00012382
2007,1,37,5,9.714e-05
2008,1,37,5,8.33637e-05
2009,1,37,5,0.000106802
2010,1,37,5,8.31317e-05
2011,1,37,5,9.13137e-05
2012,1,37,5,5.77041e-05
2013,1,37,5,0.000102969
2014,1,37,5,9.73029e-05
2015,1,37,5,5.83189e-05
2016,1,37,5,6.65405e-05
2017,1,37,5,5.08301e-05
2018,1,37,5,4.38508e-05
2019,1,37,5,5.58256e-05
2020,1,37,5,2.60846e-05
2021,1,37,5,3.59212e-05
2022,1,37,5,3.00556e-05
2023,1,37,5,4.42952e-05
2024,1,37,5,4.96995e-05
1972,1,38,7,7.99455e-05
1973,1,38,7,7.90997e-05
1974,1,38,7,9.52364e-05
1975,1,38,7,6.9257e-05
1976,1,38,7,7.98924e-05
1977,1,38,7,7.08604e-05
1978,1,38,7,6.64122e-05
1979,1,38,7,7.48492e-05
1980,1,38,7,7.51638e-05
1981,1,38,7,5.16795e-05
1982,1,38,7,5.22584e-05
1983,1,38,7,5.89747e-05
1984,1,38,7,6.44298e-05
1985,1,38,7,6.05348e-05
1986,1,38,7,7.30908e-05
1987,1,38,7,6.22665e-05
1988,1,38,7,7.49973e-05
1989,1,38,7,5.99954e-05
1990,1,38,7,3.06504e-05
1991,1,38,7,2.80681e-05
1992,1,38,7,2.41316e-05
1993,1,38,7,2.14135e-05
1994,1,38,7,4.50807e-05
1995,1,38,7,5.02558e-05
1996,1,38,7,3.06707e-05
1997,1,38,7,4.56063e-05
1998,1,38,7,3.17801e-05
1999,1,38,7,4.96899e-05
2000,1,38,7,3.58351e-05
2001,1,38,7,3.66271e-05
2002,1,38,7,3.49358e-05
2003,1,38,7,4.28153e-05
2004,1,38,7,3.01695e-05
2005,1,38,7,4.38426e-05
2006,1,38,7,3.68098e-05
2007,1,38,7,4.55919e-05
2008,1,38,7,6.77397e-05
2009,1,38,7,3.10894e-05
2010,1,38,7,0
2011,1,38,7,0
2012,1,38,7,0
2013,1,38,7,0
2014,1,38,7,0
2015,1,38,7,0
2016,1,38,7,0
2017,1,38,7,0
2018,1,38,7,0
2019,1,38,7,0
2020,1,38,7,0
2021,1,38,7,0
2022,1,38,7,0
2023,1,38,7,0
2024,1,38,7,0
1972,1,39,8,0
1973,1,39,8,0
1974,1,39,8,0
1975,1,39,8,0.00176612
1976,1,39,8,0.00293743
1977,1,39,8,0.00206441
1978,1,39,8,0.00233616
1979,1,39,8,0.00228455
1980,1,39,8,0.00250397
1981,1,39,8,0.00184102
1982,1,39,8,0.00196363
1983,1,39,8,0.00177071
1984,1,39,8,0.00202096
1985,1,39,8,0.0016503
1986,1,39,8,0.00290791
1987,1,39,8,0.00253133
1988,1,39,8,0.00388814
1989,1,39,8,0.00196721
1990,1,39,8,0.000978417
1991,1,39,8,0.00142241
1992,1,39,8,0.00105865
1993,1,39,8,0.000883339
1994,1,39,8,0.00181579
1995,1,39,8,0.00251524
1996,1,39,8,0.00162249
1997,1,39,8,0.00201051
1998,1,39,8,0
1999,1,39,8,0
2000,1,39,8,0
2001,1,39,8,0
2002,1,39,8,0
2003,1,39,8,0
2004,1,39,8,0
2005,1,39,8,0
2006,1,39,8,0
2007,1,39,8,0
2008,1,39,8,0
2009,1,39,8,0
2010,1,39,8,0
2011,1,39,8,0
2012,1,39,8,0
2013,1,39,8,0
2014,1,39,8,0
2015,1,39,8,0
2016,1,39,8,0
2017,1,39,8,0
2018,1,39,8,0
2019,1,39,8,0
2020,1,39,8,0
2021,1,39,8,0
2022,1,39,8,0
2023,1,39,8,0
2024,1,39,8,0
1972,1,40,6,0
1973,1,40,6,0
1974,1,40,6,0
1975,1,40,6,0
1976,1,40,6,0
1977,1,40,6,0
1978,1,40,6,0
1979,1,40,6,0
1980,1,40,6,0
1981,1,40,6,0
1982,1,40,6,0
1983,1,40,6,0
1984,1,40,6,0
1985,1,40,6,0
1986,1,40,6,0
1987,1,40,6,0
1988,1,40,6,0
1989,1,40,6,0
1990,1,40,6,0
1991,1,40,6,0
1992,1,40,6,0
1993,1,40,6,0
1994,1,40,6,0
1995,1,40,6,0
1996,1,40,6,0
1997,1,40,6,0
1998,1,40,6,0
1999,1,40,6,0
2000,1,40,6,0
2001,1,40,6,0
2002,1,40,6,0
2003,1,40,6,0
2004,1,40,6,0
2005,1,40,6,0
2006,1,40,6,0
2007,1,40,6,0
2008,1,40,6,0
2009,1,40,6,0
2010,1,40,6,7.43867e-05
2011,1,40,6,7.27013e-05
2012,1,40,6,3.59025e-05
2013,1,40,6,4.60083e-05
2014,1,40,6,6.138e-05
2015,1,40,6,7.31869e-05
2016,1,40,6,8.00593e-05
2017,1,40,6,5.66469e-05
2018,1,40,6,7.57409e-05
2019,1,40,6,7.43703e-05
2020,1,40,6,4.22847e-05
2021,1,40,6,5.41351e-05
2022,1,40,6,3.77524e-05
2023,1,40,6,4.58519e-05
2024,1,40,6,6.33633e-05
1972,1,41,7,0
1973,1,41,7,0
1974,1,41,7,0
1975,1,41,7,0
1976,1,41,7,0
1977,1,41,7,0
1978,1,41,7,0
1979,1,41,7,0
1980,1,41,7,0
1981,1,41,7,0
1982,1,41,7,0
