rel.group,area,year,season,program,length,lendist
1,5,1990,3,RTTP,2,0
1,5,1990,3,RTTP,4,0
1,5,1990,3,RTTP,6,0
1,5,1990,3,RTTP,8,0
1,5,1990,3,RTTP,10,0
1,5,1990,3,RTTP,12,0
1,5,1990,3,RTTP,14,0
1,5,1990,3,RTTP,16,0
1,5,1990,3,RTTP,18,0
1,5,1990,3,RTTP,20,0.485677704940117
1,5,1990,3,RTTP,22,0
1,5,1990,3,RTTP,24,0
1,5,1990,3,RTTP,26,0.485677704940117
1,5,1990,3,RTTP,28,3.88542163952094
1,5,1990,3,RTTP,30,40.7969272149698
1,5,1990,3,RTTP,32,122.390781644909
1,5,1990,3,RTTP,34,143.760600662275
1,5,1990,3,RTTP,36,246.724274109579
1,5,1990,3,RTTP,38,371.057766574249
1,5,1990,3,RTTP,40,380.285642968112
1,5,1990,3,RTTP,42,229.239876731735
1,5,1990,3,RTTP,44,165.61609738458
1,5,1990,3,RTTP,46,137.932468202993
1,5,1990,3,RTTP,48,135.504079678293
1,5,1990,3,RTTP,50,160.759320335179
1,5,1990,3,RTTP,52,126.27620328443
1,5,1990,3,RTTP,54,116.076971480688
1,5,1990,3,RTTP,56,92.2787639386222
1,5,1990,3,RTTP,58,101.020962627544
1,5,1990,3,RTTP,60,39.3398941001495
1,5,1990,3,RTTP,62,4.37109934446105
1,5,1990,3,RTTP,64,2.42838852470058
1,5,1990,3,RTTP,66,0
1,5,1990,3,RTTP,68,0.485677704940117
1,5,1990,3,RTTP,70,0
1,5,1990,3,RTTP,72,0
1,5,1990,3,RTTP,74,0
1,5,1990,3,RTTP,76,0
1,5,1990,3,RTTP,78,0
1,5,1990,3,RTTP,80,0
1,5,1990,3,RTTP,82,0
1,5,1990,3,RTTP,84,0
1,5,1990,3,RTTP,86,0
1,5,1990,3,RTTP,88,0
1,5,1990,3,RTTP,90,0
1,5,1990,3,RTTP,92,0
1,5,1990,3,RTTP,94,0
1,5,1990,3,RTTP,96,0
1,5,1990,3,RTTP,98,0
1,5,1990,3,RTTP,100,0
1,5,1990,3,RTTP,102,0
1,5,1990,3,RTTP,104,0
1,5,1990,3,RTTP,106,0
1,5,1990,3,RTTP,108,0
2,5,1991,1,RTTP,2,0
2,5,1991,1,RTTP,4,0
2,5,1991,1,RTTP,6,0
2,5,1991,1,RTTP,8,0
2,5,1991,1,RTTP,10,0
2,5,1991,1,RTTP,12,0
2,5,1991,1,RTTP,14,0
2,5,1991,1,RTTP,16,0
2,5,1991,1,RTTP,18,0
2,5,1991,1,RTTP,20,0
2,5,1991,1,RTTP,22,4.52615494114024
2,5,1991,1,RTTP,24,6.78923241171036
2,5,1991,1,RTTP,26,42.2441127839756
2,5,1991,1,RTTP,28,70.9097607445305
2,5,1991,1,RTTP,30,127.486697508784
2,5,1991,1,RTTP,32,454.124212427738
2,5,1991,1,RTTP,34,800.375065424966
2,5,1991,1,RTTP,36,570.295522583671
2,5,1991,1,RTTP,38,493.350888584287
2,5,1991,1,RTTP,40,252.710317546997
2,5,1991,1,RTTP,42,72.4184790582439
2,5,1991,1,RTTP,44,60.3487325485366
2,5,1991,1,RTTP,46,94.2948946070884
2,5,1991,1,RTTP,48,92.0318171365183
2,5,1991,1,RTTP,50,113.908232685363
2,5,1991,1,RTTP,52,81.4707889405244
2,5,1991,1,RTTP,54,81.4707889405244
2,5,1991,1,RTTP,56,85.2425847248079
2,5,1991,1,RTTP,58,47.5246268819726
2,5,1991,1,RTTP,60,29.4200071174116
2,5,1991,1,RTTP,62,8.29795072542378
2,5,1991,1,RTTP,64,12.0697465097073
2,5,1991,1,RTTP,66,21.1220563919878
2,5,1991,1,RTTP,68,14.3328239802774
2,5,1991,1,RTTP,70,3.01743662742683
2,5,1991,1,RTTP,72,0
2,5,1991,1,RTTP,74,0.754359156856707
2,5,1991,1,RTTP,76,0
2,5,1991,1,RTTP,78,0
2,5,1991,1,RTTP,80,0
2,5,1991,1,RTTP,82,0
2,5,1991,1,RTTP,84,0
2,5,1991,1,RTTP,86,0
2,5,1991,1,RTTP,88,0
2,5,1991,1,RTTP,90,0
2,5,1991,1,RTTP,92,0
2,5,1991,1,RTTP,94,0
2,5,1991,1,RTTP,96,0
2,5,1991,1,RTTP,98,0
2,5,1991,1,RTTP,100,0
