age,length,weight,maturity,natmort
 1,22.8, 0.3,0.023,0.844
 2,40.7, 1.4,0.163,0.473
 3,52.0, 3.1,0.443,0.370
 4,55.4, 3.8,0.681,0.348
 5,61.2, 5.1,0.820,0.315
 6,65.5, 6.4,0.895,0.294
 7,68.7, 7.4,0.936,0.280
 8,71.0, 8.2,0.960,0.271
 9,72.8, 8.8,0.974,0.265
10,74.0, 9.3,0.983,0.260
11,75.0, 9.7,0.989,0.257
12,75.7,10.0,0.994,0.254
13,76.2,10.2,0.997,0.253
14,76.6,10.4,0.999,0.251
15,76.9,10.5,0.999,0.250
16,77.1,10.6,1.000,0.250
